Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-03,46.92,47.18,46.15,47.08,16296700,490.0,493.8,481.1,492.9,1537660,126.7,129.44,124.23,128.87,6188700,39.83,40.36,39.3,40.19,12839400,57.17,58.49,56.74,58.31,5377000,31.6,31.98,31.2,31.9,11016400
2006-01-04,47.0,47.24,46.45,46.58,17757900,488.6,491.0,483.5,483.8,1871020,127.35,128.91,126.38,127.09,4862000,39.78,40.14,39.42,39.62,13491800,58.7,59.28,58.35,58.35,7977800,31.8,31.82,31.36,31.53,10871000
2006-01-05,46.58,46.83,46.32,46.64,14970900,484.4,487.8,484.0,486.2,1143160,126.0,127.32,125.61,127.04,3717600,39.61,39.81,39.5,39.74,8109400,58.55,58.59,58.02,58.51,5778000,31.5,31.56,31.31,31.5,10158000
2006-01-06,46.8,46.91,46.35,46.57,12599800,488.8,489.0,482.0,486.2,1370250,127.29,129.25,127.29,128.84,4319600,39.92,40.24,39.55,40.02,7966900,58.77,58.85,58.05,58.57,6889800,31.58,31.78,31.38,31.68,8403800
2006-01-09,46.72,46.97,46.36,46.6,15620000,486.0,487.4,483.0,483.9,1680740,128.5,130.62,128.0,130.39,4723500,39.88,40.72,39.88,40.67,16575200,58.63,59.29,58.62,59.19,4144500,31.68,31.82,31.56,31.68,5619600
2006-01-10,46.4,46.51,45.88,46.21,15634800,483.0,485.5,480.8,485.4,1365960,130.05,132.95,130.02,132.03,5539800,40.5,40.75,40.07,40.73,16614900,58.85,59.22,58.58,59.22,4713600,31.55,31.68,31.44,31.65,7157800
2006-01-11,46.06,46.25,45.75,46.1,14745100,495.8,495.8,485.8,489.8,1684440,131.45,133.8,131.42,131.97,4671400,40.73,40.87,40.61,40.7,12333100,59.15,59.88,58.84,59.57,5837900,31.65,31.9,31.58,31.82,8049600
2006-01-12,46.22,46.23,45.71,45.8,10546600,491.0,491.0,488.8,490.3,1230060,131.4,133.21,131.38,132.25,3725500,40.25,40.42,39.9,39.95,12230400,59.63,59.78,59.27,59.47,3817700,31.7,31.79,31.43,31.44,10763600
2006-01-13,45.83,46.0,45.68,45.8,10791300,491.0,491.9,487.3,489.2,940930,132.02,133.66,131.9,133.26,2894900,39.78,40.03,39.65,39.92,10961200,59.57,59.67,59.06,59.38,3430900,31.55,31.8,31.51,31.62,6366000
2006-01-17,45.4,45.58,45.0,45.31,14606100,485.1,487.0,482.7,484.3,1237830,131.0,133.13,130.59,132.59,3624600,39.48,39.82,39.41,39.71,9941400,59.45,59.46,58.68,58.81,2624700,31.46,31.58,31.2,31.3,10690600
2006-01-18,45.32,45.65,44.92,45.18,10911300,484.3,486.7,481.1,483.8,1218910,131.06,132.68,131.01,131.85,4305400,39.11,39.71,38.95,39.35,17908500,58.55,58.9,58.05,58.58,2904300,31.3,31.84,31.3,31.67,10798000
2006-01-19,45.88,45.88,44.85,45.14,14584000,485.6,485.8,477.0,479.4,1696500,132.72,134.82,132.71,133.82,5020700,39.34,39.47,38.8,39.06,12092300,58.75,59.98,58.71,59.35,3813000,31.8,31.82,31.27,31.3,8713400
2006-01-20,45.0,45.15,44.17,44.19,25164400,472.1,474.0,456.3,456.9,4781930,132.85,134.06,131.25,131.44,5680100,38.81,38.82,37.88,38.05,20907200,59.3,59.55,57.41,57.85,5446100,31.31,31.31,30.75,30.75,18175400
2006-01-23,43.5,44.39,43.49,43.96,23459900,460.0,463.8,457.0,460.0,2025500,131.64,134.18,131.64,132.87,3849400,38.14,38.7,37.97,38.27,13172400,57.7,58.69,57.7,58.48,3801000,30.76,30.97,30.75,30.8,7047400
2006-01-24,44.08,44.68,44.04,44.24,13500300,462.9,463.6,459.9,460.1,2083740,132.63,134.09,132.34,133.0,3758000,38.27,38.53,38.09,38.11,9781500,58.82,59.45,58.62,58.69,3813600,30.82,30.98,30.66,30.8,8232400
2006-01-25,44.15,44.65,44.15,44.63,15132000,461.4,463.7,460.1,462.3,1591940,133.65,134.04,132.46,133.56,3740500,38.16,38.68,38.06,38.48,14248700,59.0,59.42,58.55,59.17,4011700,30.84,31.06,30.73,31.0,8580800
2006-01-26,45.0,45.16,44.67,44.9,18449500,465.5,475.5,464.5,470.1,1988600,133.01,138.36,133.01,137.4,4808300,38.71,39.81,38.71,39.59,16187900,61.11,60.5,59.49,59.97,5790400,31.24,31.5,31.18,31.28,8598000
2006-01-27,44.9,45.11,44.61,44.8,12250800,470.1,473.7,466.0,468.7,1412760,137.93,139.75,137.1,138.94,3687900,39.25,40.04,39.17,39.75,12929400,60.0,61.0,59.79,60.78,3700100,31.28,31.6,31.04,31.35,7640000
2006-01-30,44.75,45.35,44.25,44.48,14816000,468.7,469.9,466.6,468.2,1057630,139.55,140.64,138.71,139.87,3167900,39.52,39.97,39.42,39.85,8701700,61.45,61.85,60.64,60.67,4246600,31.35,31.36,31.15,31.24,5756400
2006-01-31,44.65,44.73,44.12,44.23,19151000,468.3,470.5,465.5,465.8,1887280,139.73,141.86,138.45,141.25,4908100,40.03,40.19,39.74,39.75,15582500,60.5,61.91,60.49,61.45,5178400,31.12,31.3,31.1,31.18,11763400
2006-02-01,44.1,44.24,43.86,43.95,15854800,465.9,467.2,461.1,463.3,1844970,141.4,142.95,140.43,141.71,3640600,39.88,40.22,39.67,39.88,11429800,61.1,61.96,60.89,61.83,3586000,30.95,30.98,30.75,30.92,8224400
2006-02-02,43.95,43.97,43.37,43.44,14745300,459.0,461.0,451.0,451.8,2325470,142.27,143.77,141.4,142.52,3711000,39.88,40.16,39.59,39.99,10309100,61.65,62.14,60.85,61.27,3469800,30.82,30.9,30.6,30.65,9831600
2006-02-03,43.3,43.55,42.75,43.09,17097100,450.7,456.1,448.1,450.6,1666510,141.55,143.12,140.7,142.74,4213900,39.45,40.1,39.4,39.53,10440700,60.6,62.15,60.36,61.44,3961600,30.42,30.72,30.31,30.52,7532400
2006-02-06,43.4,43.65,43.24,43.37,12554600,452.6,456.1,450.9,451.7,1147430,142.61,144.1,141.6,142.82,3849300,39.4,39.6,39.31,39.44,6591900,61.26,61.91,61.23,61.73,2629500,30.42,30.6,30.34,30.52,7290000
2006-02-07,43.6,43.87,43.46,43.49,13917200,452.0,453.8,450.0,450.5,1207780,142.35,143.31,139.48,139.48,5208000,39.2,39.6,39.05,39.26,8592600,61.35,61.54,60.27,60.53,3811900,30.5,30.68,30.45,30.56,8097000
2006-02-08,43.55,43.72,43.34,43.67,12564600,453.3,455.3,450.7,453.6,1051370,140.1,141.93,139.32,141.14,4481400,39.28,39.62,39.25,39.6,10065400,61.15,61.36,60.8,61.27,2719000,30.5,30.72,30.4,30.66,5928000
2006-02-09,43.75,44.05,43.7,43.83,13766200,455.0,461.0,454.3,457.9,1357740,141.14,142.85,140.49,140.85,3059500,39.53,40.03,39.44,39.77,8496300,61.27,61.9,61.1,61.18,2714000,30.6,30.82,30.5,30.62,7052600
2006-02-10,43.77,44.02,43.41,43.92,9039000,457.0,460.7,452.5,459.6,1272030,140.67,141.85,137.8,140.81,4433100,39.62,39.98,39.29,39.92,8790500,61.0,61.14,59.38,60.31,4483600,30.64,30.97,30.57,30.86,6501200
2006-02-13,43.7,43.96,43.3,43.7,8329500,460.6,462.3,454.1,456.8,1158300,139.65,141.8,139.15,139.65,2155200,39.77,40.31,39.61,39.77,7791600,60.2,60.58,59.39,59.81,4104900,30.78,30.88,30.6,30.82,5401400
2006-02-14,43.92,44.49,43.73,44.16,17049500,457.8,462.5,457.1,461.2,1518040,141.2,142.32,138.77,141.78,3003200,39.66,40.33,39.65,40.1,12904100,59.81,60.46,59.21,60.07,3715100,30.95,31.58,30.89,31.32,8263600
2006-02-15,44.07,44.6,43.93,44.36,12818500,460.4,464.7,457.6,462.5,1700050,142.0,145.5,141.4,145.14,4330700,39.97,40.5,39.97,40.32,12686700,60.06,61.06,59.65,60.86,2935600,31.32,31.74,31.32,31.74,10144800
2006-02-16,44.39,44.73,44.28,44.69,11773900,463.0,464.4,460.4,464.4,1326000,146.1,146.35,144.21,145.9,2847500,40.45,40.82,40.24,40.82,11572000,60.83,61.35,60.5,61.3,2645200,31.68,32.0,31.5,31.98,8282600
2006-02-17,44.78,45.32,44.52,44.66,11938900,465.0,465.7,461.3,462.4,1313860,146.19,146.22,144.06,145.54,2407300,40.66,40.82,40.4,40.78,11518600,61.25,61.35,60.51,60.81,3317700,31.98,32.02,31.69,31.8,6829000
2006-02-21,44.71,44.83,44.51,44.55,10381400,462.0,463.7,459.7,461.7,1395690,145.56,145.75,143.01,143.45,2539800,40.63,40.95,40.55,40.7,7324600,60.9,61.28,60.51,60.77,2772000,31.9,31.92,31.54,31.76,6424800
2006-02-22,44.45,45.17,44.42,45.08,14729700,463.8,469.8,462.4,468.8,1515550,143.45,145.53,143.23,145.53,2674200,40.89,41.55,40.74,41.41,13168400,60.95,61.78,60.94,61.58,3499500,31.9,32.3,31.86,32.2,8381400
